instance,parent,relatedBenchmarkInstance,filters,entityLevel,parkingDateInterval
parkingTest1: Basic alert scenario triggers,TRUE,parkingTest1: Basic alert scenario triggers,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,0
parkingTest2: Alert triggers with mixed entity level,TRUE,parkingTest2: Alert triggers with mixed entity level,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID+transType,0
parkingTest3: Alert triggers for multiple filters,TRUE,parkingTest3: Alert triggers for multiple filters,assetClass=FI_OTC;product=BOND;sym<>FIXEDINCOME*,sym+traderID,0
parkingTest4: Negative test for filters,TRUE,parkingTest4: Negative test for filters,assetClass=FI_OTC;venue=NYSE;sym<>FIXEDINCOME*,sym+traderID+brokerID,0
parkingTest5: VWAP threshold not breached,TRUE,parkingTest5: VWAP threshold not breached,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID,0
parkingTest6: Trade QTY not breached,TRUE,parkingTest6: Trade QTY not breached,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID,0
parkingTest7: Alert triggered for counterparty filter,TRUE,parkingTest7: Alert triggered for counterparty filter,assetClass=FI_OTC;counterParty=*A*;sym<>FIXEDINCOME*,sym+traderID,0
parkingTest8: Alert triggers for parking date inteval of 2,TRUE,parkingTest8: Alert triggers for parking date inteval of 2,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,2
parkingTest9: No alert triggers for parking date interval of 1,TRUE,parkingTest9: No alert triggers for parking date interval of 1,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,1
PK10A:  historically cancelled trade not counted,TRUE,PK10A:  historically cancelled trade not counted,assetClass=FI_OTC;counterParty=FI_CTRPY1*;transactTime<>*2015.05.05*,sym+traderID,2
PK10B: transType in filters produced extra inappropriate alert,TRUE,PK10B: transType in filters produced extra inappropriate alert,assetClass=FI_OTC;counterParty=FI_CTRPY1*;transType=new;transactTime<>*2015.05.05*,sym+traderID,2
PK11:  alert triggers on a replaced trade message,TRUE,PK11:  alert triggers on a replaced trade message,assetClass=FI_OTC;counterParty=FI_CTRPY2*,sym+traderID,2
PK12: alert triggers on a cancelled trade message,TRUE,PK12: alert triggers on a cancelled trade message,assetClass=FI_OTC;counterParty=FI_CTRPY3*,sym+traderID,2
PK13: Foreign column from dxBTS in filters and entityLevel,TRUE,PK13: Foreign column from dxBTS in filters and entityLevel,assetClass=FI_OTC;salesHub=SH_SING*|;transactTime<>*2015.05.05*,sym+traderID+originalCounterparty,2
PK14: Seperate designed test scenarios considered together,TRUE,PK14: Seperate designed test scenarios considered together,assetClass=FI_OTC;counterParty=FI_CTRPY*;transactTime<>*2015.05.05*,sym+traderID,2
PK15: Opposite Side Qty in Null in last two days (triggered on null in 1.6),TRUE,PK15: Opposite Side Qty in Null in last two days (triggered on null in 1.6),assetClass=FI_OTC;transType=new;transactTime=2015.04.28D06:54:10*|2015.04.29D06:57:10*|2015.04.30D07:01:10*,assetClass,2
PK16: Opposite Side Qty in Null in last two days (triggers on valid vwap from 2 days ago),TRUE,PK16: Opposite Side Qty in Null in last two days (triggers on valid vwap from 2 days ago),assetClass=FI_OTC;transType=new;transactTime=2015.04.28D06:54:10*|2015.04.29D06:57:10*|2015.04.30D07:01:10*,assetClass,2
PK17:  Value computed as price*qty when val entry is null (positive),TRUE,PK17:  Value computed as price*qty when val entry is null (positive),assetClass=FI_OTC;sym=*4*|*5*,sym+traderID,1
PK17:  Value computed as price*qty when val entry is null (negative),TRUE,PK17:  Value computed as price*qty when val entry is null (negative),assetClass=FI_OTC;sym=*4*|*5*,sym+traderID,1
PK18A: Parking Benchmark Inheritance Positive Test_Bench Parent,TRUE,PK18A: Parking Benchmark Inheritance Positive Test_Bench Parent,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,2
PK18A: Parking Benchmark Inheritance Positive Test_Bench Child,FALSE,PK18A: Parking Benchmark Inheritance Positive Test_Bench Parent,sourceData<>*doesNotExist*,sym+traderID,2
PK18B: Parking Benchmark Inheritance Negative Test_Bench Parent,TRUE,PK18B: Parking Benchmark Inheritance Negative Test_Bench Parent,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,2
PK18B: Parking Benchmark Inheritance Negative Test_Bench Child,FALSE,PK18B: Parking Benchmark Inheritance Negative Test_Bench Parent,sourceData=*doesNotExist*,sym+traderID,2
PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,TRUE,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,2
PK21: Parent Child Prioritisation Test 1 - Child1 - triggers on parent,FALSE,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,sourceData<>*doesNotExist*,sym+traderID,2
PK21: Parent Child Prioritisation Test 1 - Child2 - triggers on parent,FALSE,PK21: Parent Child Prioritisation Test 1 - Parent - triggers on parent,sourceData<>*doesNotExist*,sym+traderID,2
