instance,parent,priority,relatedAlert,filters,entityLevel,alertFunction,thresholdTradeVWAPDifferencePercentage,thresholdTradeQtyDifferencePercentage,minTradeQty,minTradeVal
parkingTest1: Basic alert scenario triggers,TRUE,999,parkingTest1: Basic alert scenario triggers,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest2: Alert triggers with mixed entity level,TRUE,999,parkingTest2: Alert triggers with mixed entity level,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID+transType,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest3: Alert triggers for multiple filters,TRUE,999,parkingTest3: Alert triggers for multiple filters,assetClass=FI_OTC;product=BOND;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest4: Negative test for filters,TRUE,999,parkingTest4: Negative test for filters,assetClass=FI_OTC;venue=NYSE;sym<>FIXEDINCOME*,sym+traderID+brokerID,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest5: VWAP threshold not breached,TRUE,999,parkingTest5: VWAP threshold not breached,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,0.0,5.0,-1.0,-1.0
parkingTest6: Trade QTY not breached,TRUE,999,parkingTest6: Trade QTY not breached,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,5.0,0.0,-1.0,-1.0
parkingTest7: Alert triggered for counterparty filter,TRUE,999,parkingTest7: Alert triggered for counterparty filter,assetClass=FI_OTC;counterParty=*A*;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest8: Alert triggers for parking date inteval of 2,TRUE,999,parkingTest8: Alert triggers for parking date inteval of 2,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
parkingTest9: No alert triggers for parking date interval of 1,TRUE,999,parkingTest9: No alert triggers for parking date interval of 1,assetClass=FI_OTC;sym=AAAA1*;sym<>FIXEDINCOME*,sym+traderID,.alert.parking,10.0,10.0,-1.0,-1.0
PK10A:  historically cancelled trade not counted,TRUE,999,PK10A:  historically cancelled trade not counted,assetClass=FI_OTC;counterParty=FI_CTRPY1*;transactTime<>*2015.05.05*,sym+traderID,.alert.parking,0.18,0.34,-1.0,-1.0
PK10B: transType in filters produced extra inappropriate alert,TRUE,999,PK10B: transType in filters produced extra inappropriate alert,assetClass=FI_OTC;counterParty=FI_CTRPY1*;transType=new;transactTime<>*2015.05.05*,sym+traderID,.alert.parking,0.18,0.34,-1.0,-1.0
PK11:  alert triggers on a replaced trade message,TRUE,999,PK11:  alert triggers on a replaced trade message,assetClass=FI_OTC;counterParty=FI_CTRPY2*,sym+traderID,.alert.parking,2.06,0.24,-1.0,-1.0
PK12: alert triggers on a cancelled trade message,TRUE,999,PK12: alert triggers on a cancelled trade message,assetClass=FI_OTC;counterParty=FI_CTRPY3*,sym+traderID,.alert.parking,0.01,0.41,-1.0,-1.0
PK13: Foreign column from dxBTS in filters and entityLevel,TRUE,999,PK13: Foreign column from dxBTS in filters and entityLevel,assetClass=FI_OTC;salesHub=SH_SING*|;transactTime<>*2015.05.05*,sym+traderID+originalCounterparty,.alert.parking,0.18,0.334,-1.0,-1.0
PK14: Seperate designed test scenarios considered together,TRUE,999,PK14: Seperate designed test scenarios considered together,assetClass=FI_OTC;counterParty=FI_CTRPY*;transactTime<>*2015.05.05*,sym+traderID,.alert.parking,2.06,0.41,-1.0,-1.0
PK15: Opposite Side Qty in Null in last two days (triggered on null in 1.6),TRUE,999,PK15: Opposite Side Qty in Null in last two days (triggered on null in 1.6),assetClass=FI_OTC;transType=new;transactTime=2015.04.28D06:54:10*|2015.04.29D06:57:10*|2015.04.30D07:01:10*,assetClass,.alert.parking,0.04,0.01,-1.0,-1.0
PK16: Opposite Side Qty in Null in last two days (triggers on valid vwap from 2 days ago),TRUE,999,PK16: Opposite Side Qty in Null in last two days (triggers on valid vwap from 2 days ago),assetClass=FI_OTC;transType=new;transactTime=2015.04.28D06:54:10*|2015.04.29D06:57:10*|2015.04.30D07:01:10*,assetClass,.alert.parking,0.05,0.01,-1.0,-1.0
PK17:  Value computed as price*qty when val entry is null (positive),TRUE,999,PK17:  Value computed as price*qty when val entry is null (positive),assetClass=FI_OTC;sym=*4*|*5*,sym+traderID,.alert.parking,0.4693,0.4693,-1.0,-1.0
PK17:  Value computed as price*qty when val entry is null (negative),TRUE,999,PK17:  Value computed as price*qty when val entry is null (negative),assetClass=FI_OTC;sym=*4*|*5*,sym+traderID,.alert.parking,0.4692,0.4692,-1.0,-1.0
PK18A:  minTradeQty positive test,TRUE,999,PK18A:  minTradeQty positive test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,199.99,-1.0
PK18B:  minTradeQty negative test,TRUE,999,PK18B:  minTradeQty negative test,assetClass=FI_OTC;sym<>FIXEDINCOME*,sym,.alert.parking,10.0,10.0,200.0,-1.0
